Train [4][500/1251]	Time 0.403 (0.377)	Data 0.001 (0.001)	Loss 3.6480 (3.7795)	Top-1 acc 38.477 (34.827)	Top-5 acc 63.184 (59.924)	lr 0.27195
Train [4][600/1251]	Time 0.370 (0.377)	Data 0.001 (0.001)	Loss 3.6543 (3.7695)	Top-1 acc 36.816 (35.052)	Top-5 acc 62.598 (60.125)	lr 0.27834
Train [4][700/1251]	Time 0.368 (0.377)	Data 0.002 (0.001)	Loss 3.6326 (3.7590)	Top-1 acc 37.891 (35.245)	Top-5 acc 63.379 (60.343)	lr 0.28473
Train [4][800/1251]	Time 0.371 (0.378)	Data 0.001 (0.001)	Loss 3.6888 (3.7498)	Top-1 acc 35.938 (35.438)	Top-5 acc 63.477 (60.525)	lr 0.29112
Train [4][900/1251]	Time 0.398 (0.378)	Data 0.001 (0.001)	Loss 3.6675 (3.7390)	Top-1 acc 36.914 (35.659)	Top-5 acc 60.840 (60.753)	lr 0.29751
Train [4][1000/1251]	Time 0.391 (0.379)	Data 0.001 (0.001)	Loss 3.5995 (3.7293)	Top-1 acc 38.379 (35.853)	Top-5 acc 62.891 (60.949)	lr 0.30390
Train [4][1100/1251]	Time 0.373 (0.379)	Data 0.001 (0.001)	Loss 3.6930 (3.7194)	Top-1 acc 37.207 (36.046)	Top-5 acc 60.352 (61.147)	lr 0.31029
Train [4][1200/1251]	Time 0.371 (0.379)	Data 0.001 (0.001)	Loss 3.6142 (3.7095)	Top-1 acc 37.988 (36.247)	Top-5 acc 63.379 (61.365)	lr 0.31668
==========Valid [4/120]	loss 2.801	top-1 acc 39.524 (39.524)	top-5 acc 66.028	Train top-1 36.340	top-5 61.463
Train [5][0/1251]	Time 0.392 (0.392)	Data 0.001 (0.001)	Loss 3.5928 (3.5928)	Top-1 acc 36.914 (36.914)	Top-5 acc 64.355 (64.355)	lr 0.32000
Train [5][100/1251]	Time 0.390 (0.390)	Data 0.001 (0.001)	Loss 3.6395 (3.5834)	Top-1 acc 35.352 (38.783)	Top-5 acc 63.086 (64.098)	lr 0.32639
Train [5][200/1251]	Time 0.395 (0.382)	Data 0.001 (0.001)	Loss 3.4548 (3.5716)	Top-1 acc 41.504 (39.069)	Top-5 acc 66.602 (64.316)	lr 0.33278
Train [5][300/1251]	Time 0.413 (0.380)	Data 0.001 (0.001)	Loss 3.5750 (3.5614)	Top-1 acc 39.453 (39.253)	Top-5 acc 63.184 (64.524)	lr 0.33917
Train [5][400/1251]	Time 0.397 (0.380)	Data 0.001 (0.001)	Loss 3.5887 (3.5564)	Top-1 acc 39.648 (39.335)	Top-5 acc 65.625 (64.602)	lr 0.34556
Train [5][500/1251]	Time 0.367 (0.380)	Data 0.001 (0.001)	Loss 3.3950 (3.5505)	Top-1 acc 42.285 (39.488)	Top-5 acc 68.359 (64.726)	lr 0.35195
Train [5][600/1251]	Time 0.369 (0.380)	Data 0.001 (0.001)	Loss 3.5002 (3.5460)	Top-1 acc 40.918 (39.590)	Top-5 acc 66.309 (64.813)	lr 0.35834
Train [5][700/1251]	Time 0.377 (0.380)	Data 0.001 (0.001)	Loss 3.4103 (3.5387)	Top-1 acc 42.383 (39.725)	Top-5 acc 66.602 (64.970)	lr 0.36473
Train [5][800/1251]	Time 0.376 (0.380)	Data 0.001 (0.001)	Loss 3.5136 (3.5336)	Top-1 acc 40.332 (39.839)	Top-5 acc 63.770 (65.087)	lr 0.37112
Train [5][900/1251]	Time 0.388 (0.379)	Data 0.001 (0.001)	Loss 3.5425 (3.5264)	Top-1 acc 40.527 (39.979)	Top-5 acc 64.453 (65.248)	lr 0.37751
