Train [3][200/2502]	Time 0.376 (0.373)	Data 0.001 (0.001)	Loss 4.1520 (4.2166)	Top-1 acc 26.562 (26.365)	Top-5 acc 50.195 (50.412)	lr 0.08320
Train [3][300/2502]	Time 0.373 (0.373)	Data 0.001 (0.001)	Loss 4.2738 (4.2023)	Top-1 acc 25.000 (26.751)	Top-5 acc 48.438 (50.803)	lr 0.08479
Train [3][400/2502]	Time 0.369 (0.373)	Data 0.001 (0.001)	Loss 4.2253 (4.1879)	Top-1 acc 25.977 (27.002)	Top-5 acc 50.586 (51.077)	lr 0.08639
Train [3][500/2502]	Time 0.374 (0.373)	Data 0.001 (0.001)	Loss 4.0586 (4.1726)	Top-1 acc 28.906 (27.292)	Top-5 acc 55.664 (51.393)	lr 0.08799
Train [3][600/2502]	Time 0.369 (0.373)	Data 0.001 (0.001)	Loss 4.0679 (4.1584)	Top-1 acc 28.320 (27.602)	Top-5 acc 53.125 (51.692)	lr 0.08959
Train [3][700/2502]	Time 0.371 (0.373)	Data 0.001 (0.001)	Loss 3.9760 (4.1465)	Top-1 acc 28.125 (27.805)	Top-5 acc 56.641 (51.941)	lr 0.09119
Train [3][800/2502]	Time 0.373 (0.373)	Data 0.001 (0.001)	Loss 4.0770 (4.1360)	Top-1 acc 27.539 (27.994)	Top-5 acc 52.148 (52.157)	lr 0.09278
Train [3][900/2502]	Time 0.377 (0.373)	Data 0.001 (0.001)	Loss 3.8014 (4.1235)	Top-1 acc 33.789 (28.206)	Top-5 acc 60.742 (52.442)	lr 0.09438
Train [3][1000/2502]	Time 0.376 (0.373)	Data 0.001 (0.001)	Loss 4.5145 (4.1372)	Top-1 acc 22.266 (28.030)	Top-5 acc 42.188 (52.165)	lr 0.09598
Train [3][1100/2502]	Time 0.371 (0.373)	Data 0.001 (0.001)	Loss 4.2897 (4.1539)	Top-1 acc 23.242 (27.764)	Top-5 acc 48.828 (51.811)	lr 0.09758
Train [3][1200/2502]	Time 0.370 (0.373)	Data 0.001 (0.001)	Loss 4.2685 (4.1522)	Top-1 acc 24.805 (27.818)	Top-5 acc 49.609 (51.846)	lr 0.09918
