Train [4][1251/1251]	Time 0.958 (0.529)	Data 0.001 (0.001)	Loss 2.8231 (2.9949)	Top-1 acc 57.321 (51.408)	Top-5 acc 79.663 (75.568)	lr 0.39937
==========Valid [4/120]	loss 2.439	top-1 acc 46.732 (46.732)	top-5 acc 72.798	Train top-1 51.408	top-5 75.568
Train [5][0/1251]	Time 0.709 (0.709)	Data 0.001 (0.001)	Loss 2.9607 (2.9607)	Top-1 acc 51.465 (51.465)	Top-5 acc 75.684 (75.684)	lr 0.39937
Train [5][100/1251]	Time 0.517 (0.532)	Data 0.001 (0.002)	Loss 2.9623 (2.9489)	Top-1 acc 52.930 (52.403)	Top-5 acc 76.465 (76.404)	lr 0.39934
Train [5][200/1251]	Time 0.525 (0.524)	Data 0.001 (0.002)	Loss 2.8429 (2.9336)	Top-1 acc 55.371 (52.811)	Top-5 acc 77.539 (76.577)	lr 0.39930
Train [5][300/1251]	Time 0.508 (0.524)	Data 0.001 (0.001)	Loss 2.8737 (2.9259)	Top-1 acc 52.344 (53.037)	Top-5 acc 77.832 (76.753)	lr 0.39927
Train [5][400/1251]	Time 0.516 (0.526)	Data 0.002 (0.002)	Loss 2.9651 (2.9216)	Top-1 acc 53.223 (53.161)	Top-5 acc 76.758 (76.860)	lr 0.39923
Train [5][500/1251]	Time 0.513 (0.527)	Data 0.001 (0.002)	Loss 2.9474 (2.9185)	Top-1 acc 52.930 (53.234)	Top-5 acc 76.172 (76.903)	lr 0.39920
Train [5][600/1251]	Time 0.513 (0.528)	Data 0.001 (0.002)	Loss 2.8619 (2.9151)	Top-1 acc 54.102 (53.315)	Top-5 acc 78.613 (76.964)	lr 0.39916
Train [5][700/1251]	Time 0.516 (0.528)	Data 0.001 (0.001)	Loss 2.8546 (2.9113)	Top-1 acc 53.711 (53.395)	Top-5 acc 79.492 (77.032)	lr 0.39912
Train [5][800/1251]	Time 0.508 (0.529)	Data 0.001 (0.001)	Loss 2.8959 (2.9085)	Top-1 acc 53.711 (53.446)	Top-5 acc 78.418 (77.084)	lr 0.39908
Train [5][900/1251]	Time 0.532 (0.529)	Data 0.001 (0.001)	Loss 2.8350 (2.9043)	Top-1 acc 54.492 (53.533)	Top-5 acc 77.734 (77.167)	lr 0.39904
Train [5][1000/1251]	Time 0.555 (0.529)	Data 0.001 (0.001)	Loss 2.9233 (2.9006)	Top-1 acc 54.492 (53.642)	Top-5 acc 75.977 (77.230)	lr 0.39900
Train [5][1100/1251]	Time 0.511 (0.530)	Data 0.001 (0.001)	Loss 2.8388 (2.8976)	Top-1 acc 54.688 (53.698)	Top-5 acc 79.004 (77.277)	lr 0.39895
Train [5][1200/1251]	Time 0.510 (0.530)	Data 0.001 (0.001)	Loss 2.8300 (2.8942)	Top-1 acc 54.004 (53.762)	Top-5 acc 77.930 (77.344)	lr 0.39891
Train [5][1251/1251]	Time 0.230 (0.530)	Data 0.001 (0.001)	Loss 2.9532 (2.8927)	Top-1 acc 52.361 (53.795)	Top-5 acc 76.151 (77.370)	lr 0.39889
==========Valid [5/120]	loss 2.989	top-1 acc 38.790 (46.732)	top-5 acc 64.002	Train top-1 53.795	top-5 77.370
Train [6][0/1251]	Time 0.623 (0.623)	Data 0.001 (0.001)	Loss 2.9279 (2.9279)	Top-1 acc 53.711 (53.711)	Top-5 acc 77.344 (77.344)	lr 0.39889
Train [6][100/1251]	Time 0.536 (0.535)	Data 0.001 (0.001)	Loss 2.7753 (2.8652)	Top-1 acc 57.129 (54.388)	Top-5 acc 79.199 (77.932)	lr 0.39884
Train [6][200/1251]	Time 0.537 (0.535)	Data 0.001 (0.001)	Loss 2.8217 (2.8581)	Top-1 acc 56.250 (54.633)	Top-5 acc 78.516 (78.057)	lr 0.39880
Train [6][300/1251]	Time 0.512 (0.534)	Data 0.001 (0.001)	Loss 2.7601 (2.8518)	Top-1 acc 55.176 (54.750)	Top-5 acc 80.469 (78.129)	lr 0.39875
Train [6][400/1251]	Time 0.517 (0.532)	Data 0.001 (0.001)	Loss 2.8364 (2.8482)	Top-1 acc 54.688 (54.809)	Top-5 acc 78.809 (78.211)	lr 0.39870
Train [6][500/1251]	Time 0.551 (0.532)	Data 0.001 (0.001)	Loss 2.8142 (2.8449)	Top-1 acc 56.250 (54.860)	Top-5 acc 78.418 (78.254)	lr 0.39865
Train [6][600/1251]	Time 0.560 (0.532)	Data 0.001 (0.001)	Loss 2.8385 (2.8416)	Top-1 acc 54.785 (54.936)	Top-5 acc 78.223 (78.325)	lr 0.39860
Train [6][700/1251]	Time 0.546 (0.532)	Data 0.001 (0.001)	Loss 2.7859 (2.8384)	Top-1 acc 56.250 (55.024)	Top-5 acc 79.102 (78.375)	lr 0.39855
Train [6][800/1251]	Time 0.528 (0.531)	Data 0.001 (0.001)	Loss 2.8088 (2.8368)	Top-1 acc 54.590 (55.042)	Top-5 acc 78.711 (78.404)	lr 0.39850
Train [6][900/1251]	Time 0.525 (0.531)	Data 0.001 (0.001)	Loss 2.7504 (2.8332)	Top-1 acc 58.789 (55.141)	Top-5 acc 79.004 (78.476)	lr 0.39845
Train [6][1000/1251]	Time 0.540 (0.530)	Data 0.001 (0.001)	Loss 2.8515 (2.8301)	Top-1 acc 54.883 (55.216)	Top-5 acc 77.246 (78.528)	lr 0.39840
Train [6][1100/1251]	Time 0.516 (0.531)	Data 0.001 (0.001)	Loss 2.8338 (2.8276)	Top-1 acc 53.418 (55.258)	Top-5 acc 78.809 (78.569)	lr 0.39834
Train [6][1200/1251]	Time 0.526 (0.531)	Data 0.001 (0.001)	Loss 2.7758 (2.8243)	Top-1 acc 54.883 (55.319)	Top-5 acc 79.395 (78.632)	lr 0.39829
Train [6][1251/1251]	Time 0.137 (0.530)	Data 0.001 (0.001)	Loss 2.6255 (2.8229)	Top-1 acc 61.508 (55.354)	Top-5 acc 84.663 (78.657)	lr 0.39826
==========Valid [6/120]	loss 2.501	top-1 acc 46.680 (46.732)	top-5 acc 71.864	Train top-1 55.354	top-5 78.657
