Train [4][100/2502]	Time 0.131 (0.173)	Data 0.001 (0.027)	Loss 3.9419 (3.9994)	Top-1 acc 32.422 (31.691)	Top-5 acc 54.688 (55.710)	lr 0.19997
Train [4][200/2502]	Time 0.135 (0.163)	Data 0.001 (0.019)	Loss 4.0229 (3.9961)	Top-1 acc 31.641 (31.961)	Top-5 acc 55.664 (55.872)	lr 0.19997
Train [4][300/2502]	Time 0.145 (0.160)	Data 0.001 (0.017)	Loss 4.0659 (3.9941)	Top-1 acc 30.664 (32.092)	Top-5 acc 54.688 (55.977)	lr 0.19996
Train [4][400/2502]	Time 0.138 (0.159)	Data 0.001 (0.016)	Loss 3.9327 (3.9904)	Top-1 acc 32.422 (32.152)	Top-5 acc 56.250 (56.006)	lr 0.19996
Train [4][500/2502]	Time 0.145 (0.157)	Data 0.001 (0.014)	Loss 3.9808 (3.9872)	Top-1 acc 31.836 (32.253)	Top-5 acc 55.469 (56.073)	lr 0.19996
Train [4][600/2502]	Time 0.145 (0.156)	Data 0.001 (0.012)	Loss 4.0245 (3.9856)	Top-1 acc 29.883 (32.284)	Top-5 acc 55.273 (56.119)	lr 0.19996
Train [4][700/2502]	Time 0.124 (0.156)	Data 0.001 (0.012)	Loss 3.9196 (3.9800)	Top-1 acc 33.203 (32.341)	Top-5 acc 58.594 (56.254)	lr 0.19996
Train [4][800/2502]	Time 0.124 (0.156)	Data 0.001 (0.012)	Loss 3.8785 (3.9763)	Top-1 acc 34.180 (32.412)	Top-5 acc 59.570 (56.377)	lr 0.19996
Train [4][900/2502]	Time 0.135 (0.155)	Data 0.001 (0.012)	Loss 3.8113 (3.9724)	Top-1 acc 37.500 (32.490)	Top-5 acc 59.961 (56.469)	lr 0.19996
Train [4][1000/2502]	Time 0.130 (0.155)	Data 0.001 (0.011)	Loss 3.8926 (3.9690)	Top-1 acc 33.984 (32.579)	Top-5 acc 58.789 (56.552)	lr 0.19995
Train [4][1100/2502]	Time 0.135 (0.155)	Data 0.001 (0.011)	Loss 3.9359 (3.9666)	Top-1 acc 30.469 (32.636)	Top-5 acc 57.031 (56.603)	lr 0.19995
Train [4][1200/2502]	Time 0.143 (0.155)	Data 0.001 (0.011)	Loss 4.0365 (3.9628)	Top-1 acc 28.516 (32.709)	Top-5 acc 54.297 (56.667)	lr 0.19995
Train [4][1300/2502]	Time 0.153 (0.155)	Data 0.001 (0.011)	Loss 4.0259 (3.9589)	Top-1 acc 29.297 (32.781)	Top-5 acc 52.930 (56.756)	lr 0.19995
Train [4][1400/2502]	Time 0.146 (0.154)	Data 0.001 (0.011)	Loss 3.9426 (3.9552)	Top-1 acc 33.984 (32.846)	Top-5 acc 57.422 (56.822)	lr 0.19995
Train [4][1500/2502]	Time 0.145 (0.154)	Data 0.001 (0.011)	Loss 3.9258 (3.9518)	Top-1 acc 34.961 (32.915)	Top-5 acc 57.422 (56.890)	lr 0.19995
Train [4][1600/2502]	Time 0.148 (0.154)	Data 0.001 (0.010)	Loss 3.9102 (3.9479)	Top-1 acc 34.570 (32.981)	Top-5 acc 56.250 (56.979)	lr 0.19994
Train [4][1700/2502]	Time 0.138 (0.154)	Data 0.001 (0.010)	Loss 3.8840 (3.9450)	Top-1 acc 33.008 (33.053)	Top-5 acc 57.422 (57.044)	lr 0.19994
Train [4][1800/2502]	Time 0.137 (0.154)	Data 0.001 (0.010)	Loss 3.9949 (3.9418)	Top-1 acc 32.031 (33.108)	Top-5 acc 56.445 (57.117)	lr 0.19994
Train [4][1900/2502]	Time 0.139 (0.154)	Data 0.003 (0.010)	Loss 3.7528 (3.9390)	Top-1 acc 35.742 (33.155)	Top-5 acc 63.086 (57.182)	lr 0.19994
Train [4][2000/2502]	Time 0.145 (0.154)	Data 0.001 (0.010)	Loss 3.9172 (3.9368)	Top-1 acc 35.547 (33.207)	Top-5 acc 60.938 (57.229)	lr 0.19994
Train [4][2100/2502]	Time 0.144 (0.154)	Data 0.001 (0.010)	Loss 3.9900 (3.9340)	Top-1 acc 34.375 (33.271)	Top-5 acc 56.836 (57.291)	lr 0.19994
Train [4][2200/2502]	Time 0.145 (0.154)	Data 0.001 (0.010)	Loss 3.8671 (3.9314)	Top-1 acc 32.422 (33.317)	Top-5 acc 60.156 (57.345)	lr 0.19993
Train [4][2300/2502]	Time 0.137 (0.153)	Data 0.001 (0.010)	Loss 3.8910 (3.9284)	Top-1 acc 32.422 (33.358)	Top-5 acc 58.008 (57.409)	lr 0.19993
Train [4][2400/2502]	Time 0.146 (0.153)	Data 0.001 (0.009)	Loss 3.6951 (3.9256)	Top-1 acc 39.062 (33.424)	Top-5 acc 62.695 (57.480)	lr 0.19993
Train [4][2500/2502]	Time 0.283 (0.153)	Data 0.001 (0.009)	Loss 3.9292 (3.9231)	Top-1 acc 34.570 (33.475)	Top-5 acc 57.227 (57.535)	lr 0.19993
Train [4][2502/2502]	Time 0.075 (0.153)	Data 0.001 (0.009)	Loss 3.7146 (3.9230)	Top-1 acc 38.468 (33.478)	Top-5 acc 62.979 (57.537)	lr 0.19993
==========Valid [4/250]	loss 3.428	top-1 acc 30.154 (30.154)	top-5 acc 54.820	Train top-1 33.478	top-5 57.537
Train [5][0/2502]	Time 0.173 (0.173)	Data 0.001 (0.001)	Loss 3.7612 (3.7612)	Top-1 acc 34.766 (34.766)	Top-5 acc 60.156 (60.156)	lr 0.19993
Train [5][100/2502]	Time 0.186 (0.228)	Data 0.001 (0.069)	Loss 3.7705 (3.8457)	Top-1 acc 38.281 (34.880)	Top-5 acc 60.742 (58.986)	lr 0.19993
Train [5][200/2502]	Time 0.207 (0.224)	Data 0.088 (0.078)	Loss 3.8038 (3.8471)	Top-1 acc 34.180 (34.910)	Top-5 acc 59.961 (59.122)	lr 0.19992
Train [5][300/2502]	Time 0.220 (0.229)	Data 0.101 (0.082)	Loss 3.7996 (3.8457)	Top-1 acc 35.938 (35.050)	Top-5 acc 59.570 (59.197)	lr 0.19992
Train [5][400/2502]	Time 0.227 (0.233)	Data 0.113 (0.091)	Loss 3.9486 (3.8427)	Top-1 acc 33.789 (35.049)	Top-5 acc 56.055 (59.238)	lr 0.19992
Train [5][500/2502]	Time 0.220 (0.234)	Data 0.001 (0.082)	Loss 3.8829 (3.8426)	Top-1 acc 32.812 (35.083)	Top-5 acc 59.180 (59.212)	lr 0.19992
Train [5][600/2502]	Time 0.268 (0.232)	Data 0.005 (0.070)	Loss 3.7794 (3.8411)	Top-1 acc 32.422 (35.130)	Top-5 acc 60.352 (59.265)	lr 0.19992
Train [5][700/2502]	Time 0.184 (0.232)	Data 0.001 (0.065)	Loss 3.8220 (3.8380)	Top-1 acc 37.891 (35.185)	Top-5 acc 61.133 (59.302)	lr 0.19991
