Train [5][1200/1251]	Time 0.329 (0.349)	Data 0.001 (0.001)	Loss 3.1117 (3.1404)	Top-1 acc 49.023 (48.543)	Top-5 acc 74.023 (72.859)	lr 0.39975
Train [5][1251/1251]	Time 0.141 (0.348)	Data 0.001 (0.001)	Loss 3.3181 (3.1388)	Top-1 acc 43.313 (48.583)	Top-5 acc 70.536 (72.889)	lr 0.39975
==========Valid [5/250]	loss 2.263	top-1 acc 49.610 (49.610)	top-5 acc 75.166	Train top-1 48.583	top-5 72.889
Train [6][0/1251]	Time 0.508 (0.508)	Data 0.002 (0.002)	Loss 3.1958 (3.1958)	Top-1 acc 47.656 (47.656)	Top-5 acc 71.484 (71.484)	lr 0.39975
Train [6][100/1251]	Time 0.328 (0.349)	Data 0.001 (0.003)	Loss 2.9609 (3.1168)	Top-1 acc 53.516 (48.993)	Top-5 acc 76.562 (73.403)	lr 0.39974
Train [6][200/1251]	Time 0.328 (0.347)	Data 0.001 (0.002)	Loss 3.0701 (3.1080)	Top-1 acc 49.902 (49.278)	Top-5 acc 73.242 (73.519)	lr 0.39972
Train [6][300/1251]	Time 0.378 (0.348)	Data 0.001 (0.002)	Loss 3.0101 (3.1019)	Top-1 acc 50.098 (49.364)	Top-5 acc 75.293 (73.625)	lr 0.39971
Train [6][400/1251]	Time 0.332 (0.348)	Data 0.001 (0.002)	Loss 3.0824 (3.0967)	Top-1 acc 49.219 (49.496)	Top-5 acc 74.414 (73.738)	lr 0.39970
Train [6][500/1251]	Time 0.341 (0.347)	Data 0.002 (0.002)	Loss 3.0552 (3.0930)	Top-1 acc 50.586 (49.562)	Top-5 acc 74.609 (73.796)	lr 0.39969
Train [6][600/1251]	Time 0.372 (0.348)	Data 0.001 (0.002)	Loss 3.0911 (3.0893)	Top-1 acc 50.195 (49.679)	Top-5 acc 73.340 (73.863)	lr 0.39968
Train [6][700/1251]	Time 0.355 (0.347)	Data 0.002 (0.002)	Loss 3.0120 (3.0864)	Top-1 acc 51.562 (49.725)	Top-5 acc 74.023 (73.905)	lr 0.39967
Train [6][800/1251]	Time 0.332 (0.347)	Data 0.001 (0.002)	Loss 3.0451 (3.0847)	Top-1 acc 49.121 (49.756)	Top-5 acc 74.805 (73.939)	lr 0.39966
Train [6][900/1251]	Time 0.333 (0.347)	Data 0.001 (0.002)	Loss 2.9603 (3.0809)	Top-1 acc 54.688 (49.815)	Top-5 acc 76.465 (74.026)	lr 0.39965
